CS 352 Wireshark, part 1
Total number of packets, 1944
Source IP addresse,count
192.168.1.121,1137
188.225.38.247,343
192.168.1.1,217
194.87.110.230,90
217.20.116.142,50
204.79.197.200,35
72.21.81.200,26
172.217.0.238,24
172.217.0.227,11
168.143.243.230,5
193.124.93.220,3
192.168.1.254,3
Destination TCP ports,count
49163,266
80,212
443,201
49160,74
49171,25
49170,14
49169,12
49189,11
49165,9
49168,9
49172,9
49175,9
49177,9
49182,9
49183,9
49190,9
49193,9
49197,9
49200,9
49162,5
49166,5
49167,5
49176,5
49178,5
49184,5
49185,5
49191,5
49192,5
49198,5
49199,5
49159,3
49161,3
49164,2
49173,2
49174,2
49179,2
49180,2
49181,2
49186,2
49187,2
49188,2
49194,2
49195,2
49196,1
49201,1
49202,1
Source IPs/Destination TCP ports,count
192.168.1.121:443,401
192.168.1.121:80,386
188.225.38.247:49163,266
192.168.1.121:49199,140
192.168.1.1:443,85
192.168.1.1:80,77
188.225.38.247:49160,74
192.168.1.121:49178,59
192.168.1.121:49191,41
204.79.197.200:49171,25
192.168.1.1:49199,21
192.168.1.121:49168,19
192.168.1.121:49200,16
72.21.81.200:49170,14
72.21.81.200:49169,12
172.217.0.227:49189,11
192.168.1.121:49197,11
192.168.1.121:49165,10
194.87.110.230:49177,9
194.87.110.230:49175,9
194.87.110.230:49200,9
192.168.1.1:49200,9
194.87.110.230:49182,9
194.87.110.230:49183,9
194.87.110.230:49165,9
194.87.110.230:49168,9
194.87.110.230:49193,9
204.79.197.200:49172,9
194.87.110.230:49197,9
194.87.110.230:49190,9
192.168.1.1:49168,8
192.168.1.121:49163,6
192.168.1.121:49182,6
192.168.1.1:49163,6
192.168.1.121:49175,6
192.168.1.121:49183,6
192.168.1.121:49193,6
192.168.1.121:49192,6
192.168.1.121:49190,6
217.20.116.142:49178,5
217.20.116.142:49199,5
217.20.116.142:49185,5
217.20.116.142:49167,5
217.20.116.142:49166,5
217.20.116.142:49198,5
217.20.116.142:49192,5
217.20.116.142:49184,5
168.143.243.230:49162,5
217.20.116.142:49191,5
217.20.116.142:49176,5
192.168.1.121:49171,4
192.168.1.121:49177,4
192.168.1.121:49176,3
188.225.38.247:49161,3
193.124.93.220:49159,3
172.217.0.238:49164,2
172.217.0.238:49181,2
192.168.1.254:80,2
172.217.0.238:49174,2
172.217.0.238:49187,2
172.217.0.238:49188,2
172.217.0.238:49180,2
192.168.1.1:49165,2
172.217.0.238:49186,2
172.217.0.238:49173,2
172.217.0.238:49194,2
172.217.0.238:49179,2
172.217.0.238:49195,2
192.168.1.1:49197,2
192.168.1.254:443,1
192.168.1.1:49182,1
204.79.197.200:49201,1
172.217.0.238:49202,1
192.168.1.121:49172,1
172.217.0.238:49196,1
192.168.1.1:49175,1
192.168.1.1:49177,1
192.168.1.1:49171,1
192.168.1.1:49172,1
192.168.1.1:49191,1
192.168.1.1:49190,1
